Symbol,Name,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,,2016,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,China,2008,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,United States,2021,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,United States,2021,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),United States,,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,United States,,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,United States,,,
AAMC,Altisource Asset Management Corp Com,United States,,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,,2020,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,Canada,2015,,
AB,AllianceBernstein Holding L.P.  Units,United States,,Finance,Investment Managers
ABB,ABB Ltd Common Stock,Switzerland,,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,United States,,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,United States,1994,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,Consumer Discretionary,Other Specialty Stores
ABIO,ARCA biopharma Inc. Common Stock,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,United States,,Consumer Discretionary,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,,
